skill_name,category,difficulty,weekly_hours_needed,cost_level,platform,prerequisite_skills,interest_tags,description,resource_1_name,resource_1_url,resource_2_name,resource_2_url,resource_3_name,resource_3_url
Python Basics,Programming,Beginner,5,Free,YouTube/freeCodeCamp,None,tech/coding/data,Learn variables loops functions and basic Python syntax,freeCodeCamp Python,https://www.youtube.com/watch?v=rfscVS0vtbw,Python.org Beginner Guide,https://www.python.org/about/gettingstarted/,Kaggle Python Course,https://www.kaggle.com/learn/python
HTML & CSS,Web Development,Beginner,4,Free,freeCodeCamp,None,tech/design/web,Build and style web pages from scratch,freeCodeCamp HTML/CSS,https://www.freecodecamp.org/learn/responsive-web-design/,W3Schools HTML,https://www.w3schools.com/html/,MDN Web Docs,https://developer.mozilla.org/en-US/docs/Learn/HTML
Excel & Google Sheets,Productivity,Beginner,3,Free,Coursera/YouTube,None,business/data/productivity,Master spreadsheets for data analysis and reporting,Coursera Excel Skills,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,ExcelJet,https://exceljet.net/,GCFGlobal Excel,https://edu.gcfglobal.org/en/excel/
Public Speaking,Communication,Beginner,2,Free,YouTube/Toastmasters,None,communication/leadership/career,Build confidence speaking in front of others,Toastmasters,https://www.toastmasters.org/,TED Talks Playlist,https://www.youtube.com/watch?v=tShavGuo0_E,Coursera Public Speaking,https://www.coursera.org/learn/public-speaking
Graphic Design Basics,Design,Beginner,4,Free,Canva/YouTube,None,design/creative/art,Learn design principles using Canva or similar tools,Canva Design School,https://www.canva.com/learn/,GCFGlobal Design,https://edu.gcfglobal.org/en/beginning-graphic-design/,YouTube Design Course,https://www.youtube.com/watch?v=WONZVnlam6U
Touch Typing,Productivity,Beginner,2,Free,Keybr.com,None,productivity/tech/career,Increase typing speed and accuracy to 60+ WPM,Keybr,https://www.keybr.com/,TypingClub,https://www.typingclub.com/,10FastFingers,https://10fastfingers.com/typing-test/english
Personal Finance,Finance,Beginner,2,Free,YouTube/Khan Academy,None,finance/life/career,Budgeting saving and understanding money basics,Khan Academy Finance,https://www.khanacademy.org/college-careers-more/personal-finance,Investopedia Basics,https://www.investopedia.com/personal-finance-4427760,YouTube Finance,https://www.youtube.com/watch?v=HQzoZfc3GwQ
English Writing,Communication,Beginner,3,Free,Coursera,None,communication/writing/career,Improve written communication and grammar,Coursera Writing,https://www.coursera.org/learn/write-your-first-novel,Grammarly Handbook,https://www.grammarly.com/blog/category/handbook/,Purdue OWL,https://owl.purdue.edu/owl/general_writing/index.html
Git & GitHub,Programming,Beginner,3,Free,GitHub Docs/YouTube,Python Basics,tech/coding/career,Version control basics every developer needs,GitHub Docs,https://docs.github.com/en/get-started,freeCodeCamp Git,https://www.youtube.com/watch?v=RGOj5yH7evk,Git Official Book,https://git-scm.com/book/en/v2
Digital Marketing Basics,Marketing,Beginner,4,Free,Google Digital Garage,None,business/marketing/career,SEO social media and online marketing fundamentals,Google Digital Garage,https://learndigital.withgoogle.com/digitalgarage,HubSpot Academy,https://academy.hubspot.com/,Coursera Digital Marketing,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce
JavaScript Basics,Web Development,Beginner,5,Free,freeCodeCamp,HTML & CSS,tech/coding/web,Make websites interactive with JavaScript,freeCodeCamp JS,https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures/,JavaScript.info,https://javascript.info/,MDN JavaScript,https://developer.mozilla.org/en-US/docs/Learn/JavaScript
Data Analysis with Excel,Data Science,Beginner,4,Free,Coursera,Excel & Google Sheets,data/business/analytics,Pivot tables charts and data analysis in Excel,Coursera Excel Data,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,Microsoft Excel Training,https://support.microsoft.com/en-us/excel,YouTube Excel Data,https://www.youtube.com/watch?v=PSNXoAs2FtQ
Notion & Productivity Tools,Productivity,Beginner,2,Free,YouTube,None,productivity/life/organization,Master Notion for notes tasks and project management,Notion Official Guides,https://www.notion.so/help/guides,Thomas Frank Notion,https://www.youtube.com/watch?v=oTahLEX3NXo,Notion Academy,https://www.notion.so/notion/Notion-s-Official-Courses-d0d9ef5e3a1b4f2a9e9b1e7f8d3c6b5a
Photography Basics,Creative,Beginner,3,Free,YouTube,None,creative/art/design,Learn composition lighting and basic camera settings,YouTube Photography,https://www.youtube.com/watch?v=LxO-6rlihSg,Coursera Photography,https://www.coursera.org/learn/photography-basics,Digital Photography School,https://digital-photography-school.com/
Video Editing Basics,Creative,Beginner,5,Free,YouTube/DaVinci Resolve,None,creative/media/design,Edit videos using free tools like DaVinci Resolve,DaVinci Resolve Tutorial,https://www.youtube.com/watch?v=63Ln33O4p4c,Blackmagic Training,https://www.blackmagicdesign.com/products/davinciresolve/training,freeCodeCamp Video,https://www.youtube.com/watch?v=ySENWFIkL7c
Python for Data Science,Data Science,Intermediate,6,Free,Kaggle/Coursera,Python Basics,data/tech/analytics,NumPy Pandas and data manipulation with Python,Kaggle Python/Pandas,https://www.kaggle.com/learn/pandas,Coursera Data Science,https://www.coursera.org/learn/python-for-applied-data-science-ai,freeCodeCamp Data Science,https://www.youtube.com/watch?v=LHBE6Q9XlzI
SQL Basics,Data Science,Intermediate,5,Free,SQLZoo/Mode Analytics,None,data/tech/analytics,Query databases to extract and analyze data,SQLZoo,https://sqlzoo.net/wiki/SQL_Tutorial,Mode SQL Tutorial,https://mode.com/sql-tutorial/,W3Schools SQL,https://www.w3schools.com/sql/
React.js,Web Development,Intermediate,7,Paid,Udemy,JavaScript Basics,tech/web/coding,Build modern interactive web applications,React Official Docs,https://react.dev/learn,freeCodeCamp React,https://www.freecodecamp.org/learn/front-end-development-libraries/,Scrimba React,https://scrimba.com/learn/learnreact
Machine Learning Basics,AI/ML,Intermediate,7,Free,Coursera/Andrew Ng,Python for Data Science,tech/data/AI,Supervised and unsupervised learning with scikit-learn,Andrew Ng Coursera,https://www.coursera.org/learn/machine-learning,Kaggle ML Course,https://www.kaggle.com/learn/intro-to-machine-learning,Google ML Crash Course,https://developers.google.com/machine-learning/crash-course
UX/UI Design,Design,Intermediate,6,Paid,Coursera/Figma,Graphic Design Basics,design/tech/creative,Design user-friendly interfaces and experiences,Google UX Design Coursera,https://www.coursera.org/professional-certificates/google-ux-design,Figma Tutorial,https://www.youtube.com/watch?v=FTFaQWZBqQ8,Nielsen Norman Group,https://www.nngroup.com/articles/
Content Writing,Marketing,Intermediate,4,Free,Coursera,English Writing,writing/marketing/career,Write blogs articles and web content professionally,Coursera Content Writing,https://www.coursera.org/learn/content-strategy,Copyblogger,https://copyblogger.com/,HubSpot Content,https://blog.hubspot.com/marketing/content-marketing
Video Production,Creative,Intermediate,6,Paid,Skillshare,Video Editing Basics,creative/media/business,Plan and produce quality video content,Skillshare Video,https://www.skillshare.com/en/browse/video-production,YouTube Creator Academy,https://creatoracademy.youtube.com/,Think Media YouTube,https://www.youtube.com/c/ThinkMediaTV
Copywriting,Marketing,Intermediate,4,Free,YouTube/CopyHackers,English Writing,writing/marketing/business,Write persuasive marketing and sales copy,CopyHackers,https://copyhackers.com/,AWAI Copywriting,https://www.awai.com/copywriting/,YouTube Copywriting,https://www.youtube.com/watch?v=sFdnNy0ym5k
Django Web Framework,Web Development,Intermediate,7,Free,Official Docs/YouTube,Python Basics,tech/web/coding,Build full-stack web applications using Python Django,Django Official Docs,https://docs.djangoproject.com/en/stable/intro/tutorial01/,CS50 Web Django,https://www.youtube.com/watch?v=w8Z7NO_AnhI,freeCodeCamp Django,https://www.youtube.com/watch?v=F5mRW0jo-U4
Data Visualization,Data Science,Intermediate,5,Free,Coursera,Python for Data Science,data/analytics/design,Create charts and dashboards using Matplotlib and Seaborn,Matplotlib Docs,https://matplotlib.org/stable/tutorials/index.html,Seaborn Tutorial,https://seaborn.pydata.org/tutorial.html,Kaggle Data Viz,https://www.kaggle.com/learn/data-visualization
Freelancing Skills,Business,Intermediate,3,Free,YouTube/Upwork,None,business/career/finance,Find clients manage projects and earn online,Upwork Guide,https://www.upwork.com/resources/how-to-get-started-on-upwork,Fiverr Learn,https://learn.fiverr.com/,YouTube Freelancing,https://www.youtube.com/watch?v=i3A3P5C3mGU
SEO & Content Strategy,Marketing,Intermediate,5,Free,Moz/HubSpot,Digital Marketing Basics,marketing/business/writing,Rank content on search engines and grow organic traffic,Moz Beginner SEO,https://moz.com/beginners-guide-to-seo,Google SEO Starter,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,HubSpot SEO,https://blog.hubspot.com/marketing/seo
Network Fundamentals,IT,Intermediate,6,Paid,Cisco NetAcad,None,tech/IT/career,How the internet and computer networks work,Cisco NetAcad,https://www.netacad.com/courses/networking,Professor Messer,https://www.professormesser.com/,freeCodeCamp Networking,https://www.youtube.com/watch?v=qiQR5rTSshw
Canva Advanced Design,Design,Intermediate,4,Free,Canva/YouTube,Graphic Design Basics,design/creative/business,Create professional presentations social posts and branding,Canva Design School,https://www.canva.com/learn/,YouTube Canva,https://www.youtube.com/watch?v=9PxhE0URDQU,Canva Templates,https://www.canva.com/templates/
Emotional Intelligence,Soft Skills,Intermediate,2,Free,Coursera,None,life/leadership/communication,Understand and manage emotions for better relationships,Coursera EI,https://www.coursera.org/learn/emotional-intelligence-leadership,Yale Science of Well-Being,https://www.coursera.org/learn/the-science-of-well-being,YouTube EI,https://www.youtube.com/watch?v=n9h8fG1-WM8
Deep Learning,AI/ML,Advanced,10,Free,fast.ai/Coursera,Machine Learning Basics,tech/AI/data,Neural networks CNNs RNNs using TensorFlow and Keras,fast.ai Course,https://course.fast.ai/,DeepLearning.AI Coursera,https://www.coursera.org/specializations/deep-learning,TensorFlow Official,https://www.tensorflow.org/tutorials
React Native,Mobile Development,Advanced,9,Paid,Udemy,React.js,tech/mobile/coding,Build iOS and Android apps using JavaScript,React Native Docs,https://reactnative.dev/docs/getting-started,Expo Tutorial,https://docs.expo.dev/tutorial/introduction/,freeCodeCamp RN,https://www.youtube.com/watch?v=0-S5a0eXPoc
Cloud Computing AWS,IT,Advanced,10,Paid,AWS Training,Network Fundamentals,tech/IT/career,Deploy and manage applications on Amazon Web Services,AWS Free Training,https://aws.amazon.com/training/,AWS Cloud Practitioner,https://aws.amazon.com/certification/certified-cloud-practitioner/,freeCodeCamp AWS,https://www.youtube.com/watch?v=SOTamWNgDKc
Data Engineering,Data Science,Advanced,10,Paid,Coursera,SQL Basics,data/tech/analytics,Build data pipelines ETL processes and data infrastructure,DataTalks DE Course,https://github.com/DataTalksClub/data-engineering-zoomcamp,Coursera Data Eng,https://www.coursera.org/professional-certificates/ibm-data-engineer,freeCodeCamp DE,https://www.youtube.com/watch?v=ysz5S6PUM-U
Cybersecurity Basics,IT,Advanced,8,Paid,Coursera/TryHackMe,Network Fundamentals,tech/IT/career,Protect systems from threats and understand ethical hacking,TryHackMe,https://tryhackme.com/,Google Cybersecurity Coursera,https://www.coursera.org/professional-certificates/google-cybersecurity,Cybrary,https://www.cybrary.it/
Brand Strategy,Marketing,Advanced,7,Paid,Coursera,Copywriting,business/marketing/leadership,Develop and position a brand for long-term growth,Coursera Brand Management,https://www.coursera.org/learn/brand-management,Seth Godin Blog,https://seths.blog/,YouTube Brand Strategy,https://www.youtube.com/watch?v=jOVTJB3wALk
Financial Modeling,Finance,Advanced,9,Paid,CFI,Excel & Google Sheets,finance/business/data,Build financial models for business valuation and forecasting,CFI Free Courses,https://corporatefinanceinstitute.com/resources/career-map/sell-side/capital-markets/financial-modeling/,Investopedia Modeling,https://www.investopedia.com/terms/f/financialmodeling.asp,YouTube Financial Modeling,https://www.youtube.com/watch?v=J-IWgj-cf0o
Product Management,Business,Advanced,8,Paid,Coursera/ProductSchool,None,business/tech/leadership,Define and launch digital products from idea to market,Product School,https://productschool.com/resources/,Coursera PM,https://www.coursera.org/professional-certificates/google-project-management,Lenny's Newsletter,https://www.lennysnewsletter.com/
Machine Learning Engineering,AI/ML,Advanced,12,Paid,Coursera,Deep Learning,tech/AI/data,Deploy ML models to production at scale,MLOps Coursera,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Made With ML,https://madewithml.com/,Full Stack Deep Learning,https://fullstackdeeplearning.com/
Leadership & Management,Soft Skills,Advanced,5,Paid,Coursera/LinkedIn Learning,Emotional Intelligence,leadership/career/business,Lead teams manage conflict and drive results,Coursera Leadership,https://www.coursera.org/learn/leading-teams,LinkedIn Learning,https://www.linkedin.com/learning/topics/leadership-and-management,YouTube Leadership,https://www.youtube.com/watch?v=lmyZMtPVodo
